DATAFLOW,LAST UPDATE,freq,citizen,isced11,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFST_R_LFE2EMPRTN(1.0),24/04/24 23:00:00,A,TOTAL,TOTAL,Y15-64,T,PC,AT,2019,73.6,
ESTAT:LFST_R_LFE2EMPRTN(1.0),24/04/24 23:00:00,A,TOTAL,TOTAL,Y15-64,T,PC,AT,2020,72.4,
ESTAT:LFST_R_LFE2EMPRTN(1.0),24/04/24 23:00:00,A,TOTAL,TOTAL,Y15-64,T,PC,AT,2021,72.4,b
ESTAT:LFST_R_LFE2EMPRTN(1.0),24/04/24 23:00:00,A,TOTAL,TOTAL,Y15-64,T,PC,AT,2022,74.0,
ESTAT:LFST_R_LFE2EMPRTN(1.0),24/04/24 23:00:00,A,TOTAL,TOTAL,Y15-64,T,PC,AT,2023,74.1,
ESTAT:LFST_R_LFE2EMPRTN(1.0),24/04/24 23:00:00,A,TOTAL,TOTAL,Y15-64,T,PC,AT1,2019,70.6,
ESTAT:LFST_R_LFE2EMPRTN(1.0),24/04/24 23:00:00,A,TOTAL,TOTAL,Y15-64,T,PC,AT1,2020,69.6,
ESTAT:LFST_R_LFE2EMPRTN(1.0),24/04/24 23:00:00,A,TOTAL,TOTAL,Y15-64,T,PC,AT1,2021,69.9,b
ESTAT:LFST_R_LFE2EMPRTN(1.0),24/04/24 23:00:00,A,TOTAL,TOTAL,Y15-64,T,PC,AT1,2022,71.1,
ESTAT:LFST_R_LFE2EMPRTN(1.0),24/04/24 23:00:00,A,TOTAL,TOTAL,Y15-64,T,PC,AT1,2023,71.1,
ESTAT:LFST_R_LFE2EMPRTN(1.0),24/04/24 23:00:00,A,TOTAL,TOTAL,Y15-64,T,PC,AT11,2019,71.9,
ESTAT:LFST_R_LFE2EMPRTN(1.0),24/04/24 23:00:00,A,TOTAL,TOTAL,Y15-64,T,PC,AT11,2020,72.0,
